epoch,train loss,test loss
271,0.0749,0.1098
272,0.0807,0.1068
273,0.073,0.1042
274,0.0677,0.1027
275,0.0644,0.1036
276,0.0771,0.104
277,0.0665,0.1042
278,0.0769,0.106
279,0.0783,0.1054
280,0.0998,0.1029
281,0.077,0.1016
282,0.0655,0.1014
283,0.0573,0.1021
284,0.0915,0.1017
285,0.1004,0.0998
286,0.0792,0.1006
287,0.0746,0.1023
288,0.0712,0.1047
289,0.0664,0.1085
290,0.0635,0.1181
291,0.0595,0.1243
292,0.0596,0.1249
293,0.0674,0.1221
294,0.0768,0.1184
295,0.0745,0.1166
296,0.0909,0.1173
297,0.0772,0.1192
298,0.0782,0.1239
299,0.0728,0.1255
300,0.0613,0.1252
301,0.0556,0.1261
302,0.08,0.1264
303,0.0648,0.1236
304,0.0542,0.1175
305,0.0543,0.1121
306,0.0968,0.1087
307,0.0739,0.1057
308,0.062,0.1042
309,0.0837,0.1048
310,0.0639,0.1081
311,0.0624,0.113
312,0.0928,0.1191
313,0.0726,0.1279
314,0.0655,0.1327
315,0.0603,0.1325
316,0.0709,0.1301
317,0.0624,0.1221
318,0.0655,0.1151
319,0.0699,0.1093
320,0.0789,0.1069
321,0.0778,0.1065
322,0.0611,0.1077
323,0.0864,0.1098
324,0.0585,0.1124
325,0.0678,0.1171
326,0.0638,0.1207
327,0.0723,0.1211
328,0.0563,0.1179
329,0.0569,0.115
330,0.0703,0.1133
331,0.0583,0.1133
332,0.0682,0.1126
333,0.0746,0.1139
334,0.0692,0.1127
335,0.0787,0.1108
336,0.0583,0.1082
337,0.0677,0.1091
338,0.0736,0.1112
339,0.0605,0.1144
340,0.0744,0.1182
341,0.0456,0.1224
342,0.0737,0.1254
343,0.0745,0.1258
344,0.0583,0.1263
345,0.065,0.1241
346,0.0573,0.1207
347,0.0751,0.1193
348,0.0495,0.1163
349,0.0643,0.1138
350,0.0603,0.1127
351,0.0662,0.1137
352,0.0645,0.1187
353,0.056,0.1254
354,0.0572,0.1335
355,0.0583,0.1373
356,0.068,0.1367
357,0.0579,0.1328
358,0.0504,0.1274
359,0.0495,0.1237
360,0.0816,0.1225
361,0.076,0.1237
362,0.051,0.1252
363,0.0705,0.1253
364,0.061,0.125
365,0.0517,0.1243
366,0.074,0.1237
367,0.0616,0.1231
368,0.0498,0.1228
369,0.0729,0.1208
370,0.0581,0.1202
371,0.0781,0.1237
372,0.0649,0.1318
373,0.047,0.1394
374,0.0698,0.1441
375,0.0668,0.1458
376,0.0564,0.1435
377,0.0695,0.1378
378,0.0782,0.1307
379,0.0705,0.1252
380,0.0689,0.1206
381,0.0789,0.1178
382,0.0559,0.116
383,0.0756,0.1156
384,0.0709,0.1154
385,0.0366,0.1162
386,0.0654,0.1168
387,0.048,0.1162
388,0.0712,0.1153
389,0.0616,0.116
390,0.0614,0.119
391,0.0589,0.1187
392,0.0747,0.121
393,0.0904,0.1202
394,0.0436,0.1182
395,0.0507,0.1183
396,0.0662,0.1233
397,0.0572,0.1324
398,0.076,0.1369
399,0.059,0.1355
400,0.0536,0.1307
401,0.0724,0.1257
402,0.043,0.1223
403,0.0718,0.1174
404,0.0669,0.1138
405,0.057,0.1139
406,0.0552,0.1164
407,0.0378,0.1208
408,0.0523,0.1262
409,0.0779,0.1281
410,0.059,0.1285
411,0.0499,0.1288
412,0.0599,0.1283
413,0.0558,0.1278
414,0.0667,0.127
415,0.0611,0.1252
416,0.0638,0.1229
417,0.0829,0.1214
418,0.0687,0.1205
419,0.0729,0.1198
420,0.0608,0.116
421,0.0495,0.1144
422,0.0775,0.1127
423,0.0686,0.114
424,0.0854,0.12
425,0.0498,0.1292
426,0.0473,0.14
427,0.0504,0.1484
428,0.0837,0.1522
429,0.0569,0.154
430,0.0386,0.1517
431,0.0637,0.1454
432,0.0776,0.137
433,0.0817,0.1269
434,0.0366,0.1219
435,0.071,0.1224
436,0.0674,0.1248
437,0.0637,0.1245
438,0.0657,0.1266
439,0.073,0.1305
440,0.0619,0.1323
441,0.0601,0.1313
442,0.0658,0.1313
443,0.0599,0.1328
444,0.063,0.1341
445,0.0859,0.135
446,0.0672,0.1347
447,0.0867,0.1326
448,0.059,0.13
449,0.0526,0.1271
450,0.0745,0.1218
451,0.0765,0.1194
452,0.0597,0.1168
453,0.0618,0.1147
454,0.0737,0.1121
455,0.0644,0.1113
456,0.0337,0.1122
457,0.0546,0.1139
458,0.0654,0.1149
