epoch,train r2,test r2
270,0.9033,0.8964
271,0.9215,0.8953
272,0.933,0.8981
273,0.9217,0.9006
274,0.9429,0.902
275,0.9426,0.9012
276,0.9227,0.9008
277,0.929,0.9005
278,0.9304,0.8989
279,0.9181,0.8994
280,0.8912,0.9018
281,0.9307,0.9031
282,0.9152,0.9033
283,0.9353,0.9025
284,0.8933,0.903
285,0.8878,0.9047
286,0.9222,0.904
287,0.9234,0.9024
288,0.9282,0.9001
289,0.9448,0.8965
290,0.9317,0.8873
291,0.9352,0.8814
292,0.9459,0.8808
293,0.9315,0.8835
294,0.9253,0.8871
295,0.924,0.8888
296,0.9298,0.8881
297,0.9073,0.8862
298,0.926,0.8818
299,0.9298,0.8802
300,0.9311,0.8805
301,0.9317,0.8797
302,0.9222,0.8794
303,0.9395,0.882
304,0.9403,0.8879
305,0.9349,0.8931
306,0.9052,0.8963
307,0.9346,0.8991
308,0.9382,0.9006
309,0.9183,0.9
310,0.928,0.8969
311,0.9414,0.8922
312,0.8991,0.8864
313,0.9328,0.878
314,0.935,0.8733
315,0.928,0.8735
316,0.9175,0.8759
317,0.9308,0.8835
318,0.9254,0.8902
319,0.9336,0.8957
320,0.9347,0.898
321,0.9226,0.8984
322,0.932,0.8973
323,0.9199,0.8952
324,0.9325,0.8927
325,0.9357,0.8883
326,0.9366,0.8848
327,0.9279,0.8845
328,0.9369,0.8875
329,0.9447,0.8902
330,0.9329,0.8919
331,0.9397,0.8919
332,0.9217,0.8926
333,0.921,0.8913
334,0.9125,0.8924
335,0.927,0.8943
336,0.9289,0.8968
337,0.9174,0.8959
338,0.9264,0.8939
339,0.9419,0.8908
340,0.9199,0.8873
341,0.9396,0.8832
342,0.9392,0.8804
343,0.9348,0.88
344,0.9371,0.8795
345,0.9299,0.8816
346,0.9288,0.8849
347,0.9258,0.8862
348,0.947,0.889
349,0.9286,0.8914
350,0.9462,0.8925
351,0.9303,0.8916
352,0.9276,0.8868
353,0.9437,0.8803
354,0.9501,0.8727
355,0.9293,0.869
356,0.9298,0.8696
357,0.9416,0.8733
358,0.9397,0.8784
359,0.951,0.8819
360,0.9335,0.8831
361,0.9203,0.882
362,0.9389,0.8805
363,0.9377,0.8805
364,0.9473,0.8808
365,0.9391,0.8814
366,0.9296,0.882
367,0.9373,0.8826
368,0.9436,0.8828
369,0.9214,0.8848
370,0.9381,0.8853
371,0.939,0.882
372,0.9436,0.8742
373,0.9437,0.867
374,0.9346,0.8625
375,0.9361,0.8609
376,0.9389,0.863
377,0.9197,0.8686
378,0.928,0.8753
379,0.9115,0.8805
380,0.9212,0.8849
381,0.9262,0.8876
382,0.9335,0.8893
383,0.9267,0.8897
384,0.9208,0.8899
385,0.9525,0.8891
386,0.9352,0.8886
387,0.9499,0.8891
388,0.9282,0.89
389,0.949,0.8893
390,0.9332,0.8865
391,0.936,0.8868
392,0.9372,0.8846
393,0.9239,0.8853
394,0.9518,0.8872
395,0.9476,0.8871
396,0.9424,0.8823
397,0.9352,0.8736
398,0.932,0.8693
399,0.9423,0.8707
400,0.9469,0.8753
401,0.9331,0.88
402,0.941,0.8833
403,0.9276,0.888
404,0.9457,0.8914
405,0.933,0.8914
406,0.9446,0.889
407,0.9538,0.8848
408,0.9296,0.8796
409,0.9268,0.8778
410,0.9384,0.8774
411,0.9449,0.8771
412,0.9331,0.8776
413,0.9412,0.878
414,0.9436,0.8789
415,0.9376,0.8805
416,0.9351,0.8827
417,0.941,0.8841
418,0.9343,0.8851
419,0.9433,0.8857
420,0.9378,0.8893
421,0.9369,0.8909
422,0.9069,0.8925
423,0.9291,0.8912
424,0.9286,0.8855
425,0.9415,0.8767
426,0.9429,0.8665
427,0.9416,0.8584
428,0.9318,0.8548
429,0.9453,0.8531
430,0.9517,0.8553
431,0.9286,0.8613
432,0.9127,0.8693
433,0.9204,0.8789
434,0.9524,0.8837
435,0.9368,0.8832
436,0.9384,0.8809
437,0.9307,0.8812
438,0.9396,0.8792
439,0.9287,0.8755
440,0.9406,0.8738
441,0.9369,0.8748
442,0.9334,0.8747
443,0.9441,0.8733
444,0.9309,0.8721
445,0.9318,0.8712
446,0.9306,0.8715
447,0.9248,0.8735
448,0.9445,0.8759
449,0.9467,0.8787
450,0.9394,0.8838
451,0.9245,0.8861
452,0.9287,0.8885
453,0.9396,0.8906
454,0.94,0.893
455,0.932,0.8938
456,0.957,0.8929
457,0.9365,0.8913
458,0.927,0.8904
